epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,16604,0.65614,0.45905,1.04942,0.92479,0.9122,0.94314,0.70242,0.93985,0.53811,1.25136,0.00307,0.00307,0.00307
86,16797.1,0.64498,0.44637,1.04442,0.93401,0.90844,0.94386,0.70388,0.93918,0.53889,1.2515,0.0029875,0.0029875,0.0029875
87,16990.3,0.64566,0.44639,1.0415,0.93366,0.90622,0.94356,0.70363,0.93862,0.5398,1.25182,0.002905,0.002905,0.002905
88,17186.8,0.63966,0.44196,1.03902,0.93099,0.90874,0.94324,0.70525,0.9373,0.54012,1.25122,0.0028225,0.0028225,0.0028225
89,17381.5,0.63196,0.44151,1.03394,0.9344,0.90733,0.94225,0.70416,0.93598,0.53934,1.25137,0.00274,0.00274,0.00274
90,17575.5,0.62724,0.43755,1.03679,0.9311,0.90917,0.94305,0.70461,0.93483,0.53726,1.25088,0.0026575,0.0026575,0.0026575
91,17766.8,0.63071,0.43407,1.03347,0.93115,0.9116,0.94304,0.70434,0.93424,0.5373,1.25096,0.002575,0.002575,0.002575
92,17960.2,0.61874,0.42914,1.02853,0.9294,0.91143,0.94312,0.70485,0.93351,0.53708,1.25042,0.0024925,0.0024925,0.0024925
93,18157.8,0.61543,0.42529,1.02534,0.92899,0.91256,0.94179,0.70311,0.93334,0.53732,1.25007,0.00241,0.00241,0.00241
94,18354,0.60998,0.42027,1.02128,0.92928,0.91113,0.94194,0.70412,0.93283,0.5379,1.25004,0.0023275,0.0023275,0.0023275
95,18545.8,0.60678,0.41876,1.02587,0.92866,0.91299,0.9413,0.70413,0.93227,0.53769,1.2499,0.002245,0.002245,0.002245
96,18739.5,0.60226,0.41478,1.0203,0.92935,0.91389,0.94162,0.70434,0.93225,0.53772,1.25001,0.0021625,0.0021625,0.0021625
97,18935.2,0.59914,0.41748,1.02376,0.92869,0.91282,0.94149,0.70504,0.93147,0.53776,1.24971,0.00208,0.00208,0.00208
98,19130.6,0.5882,0.4058,1.01225,0.92854,0.91218,0.94228,0.70546,0.93111,0.53879,1.2502,0.0019975,0.0019975,0.0019975
99,19327.4,0.5866,0.40288,1.01045,0.92896,0.91214,0.94247,0.7058,0.93031,0.53889,1.25018,0.001915,0.001915,0.001915
100,19521.2,0.58123,0.40107,1.00988,0.92855,0.91171,0.94217,0.70626,0.92985,0.53953,1.25037,0.0018325,0.0018325,0.0018325
101,19716.1,0.58142,0.40552,1.01155,0.93068,0.91182,0.94278,0.70643,0.92951,0.53988,1.25017,0.00175,0.00175,0.00175
102,19914,0.57479,0.39729,1.00559,0.92818,0.91221,0.94256,0.70633,0.92862,0.54076,1.24957,0.0016675,0.0016675,0.0016675
103,20110,0.57157,0.39295,1.00597,0.92803,0.91288,0.94301,0.70642,0.92843,0.54047,1.24965,0.001585,0.001585,0.001585
104,20302.5,0.56251,0.38763,1.00097,0.92795,0.91394,0.94367,0.70702,0.92814,0.53993,1.2497,0.0015025,0.0015025,0.0015025
105,20494.5,0.56297,0.38953,1.0015,0.9271,0.91458,0.94285,0.70695,0.92835,0.54035,1.25018,0.00142,0.00142,0.00142
106,20691.1,0.55885,0.38392,1.00242,0.9259,0.91408,0.9421,0.70614,0.92839,0.54029,1.25058,0.0013375,0.0013375,0.0013375
107,20889.8,0.55116,0.37869,0.99407,0.92746,0.91469,0.94248,0.70689,0.92785,0.54067,1.2504,0.001255,0.001255,0.001255
108,21086.8,0.54913,0.37699,0.99532,0.92582,0.91477,0.94218,0.70732,0.9273,0.54067,1.25025,0.0011725,0.0011725,0.0011725
109,21279.4,0.54928,0.37844,0.99389,0.92434,0.91431,0.94231,0.70673,0.92668,0.53944,1.25045,0.00109,0.00109,0.00109
